number,ret_pct,max_dd_pct,objective_value,objective_dd_abs,ret_pct_true,max_dd_pct_true,trades,strategy,state,params
0,0.0,,-1000000000.0,1000000000.0,0.0,,0.0,mean_reversion,1,"{""adx_thresh"": 33.964496672359076, ""atr_max_pct"": 0.021698600712868114, ""atr_min_pct"": 0.00697060985444282, ""bb_std_mult"": 2.2181055324868404, ""edge_cap"": 0.3764499989979318, ""edge_k"": 1.9057534294217464, ""ema1"": 26, ""ema2"": 25, ""p_adx"": 11, ""p_atr"": 7, ""p_sma"": 33, ""p_std"": 36, ""rsi_ob"": 54, ""rsi_os"": 22, ""rsi_period"": 60, ""rsi_required"": true, ""slip_atr_k"": 0.22340326992084933, ""slip_spread_k"": 0.7215438617683047, ""spread_hl_frac"": 0.00949694771023984, ""strategy"": ""mean_reversion"", ""time_stop"": 158, ""tp_mult"": 2.211061360359525, ""tsl_mult"": 0.7289927572876178, ""use_adx"": false, ""use_atr"": false, ""use_ema"": true, ""use_sma"": false, ""use_spike"": false, ""vol_spike"": 0.23568052855930763}"
1,-0.07096446789937416,-0.07088248991809618,-1000000000.0,0.07088248991809618,-0.07096446789937416,-0.07088248991809618,776.0,mean_reversion,1,"{""adx_thresh"": 25.420333045290764, ""atr_max_pct"": 0.016075537220771808, ""atr_min_pct"": 0.01564644576977578, ""bb_std_mult"": 2.5847237419360973, ""edge_cap"": 0.6867473993169538, ""edge_k"": 1.6245317898223288, ""ema1"": 7, ""ema2"": 45, ""p_adx"": 29, ""p_atr"": 19, ""p_sma"": 53, ""p_std"": 51, ""rsi_ob"": 80, ""rsi_os"": 13, ""rsi_period"": 14, ""rsi_required"": false, ""slip_atr_k"": 0.22261996728210784, ""slip_spread_k"": 0.15956030089820405, ""spread_hl_frac"": 0.01377862724484768, ""strategy"": ""mean_reversion"", ""time_stop"": 45, ""tp_mult"": 1.4556338409689356, ""tsl_mult"": 0.575205086868013, ""use_adx"": true, ""use_atr"": false, ""use_ema"": false, ""use_sma"": false, ""use_spike"": false, ""vol_spike"": 0.1462905666617184}"
2,0.0,,-1000000000.0,1000000000.0,0.0,,0.0,mean_reversion,1,"{""adx_thresh"": 13.970612289584349, ""atr_max_pct"": 0.016743643961881934, ""atr_min_pct"": 0.006829676783825795, ""bb_std_mult"": 2.654743339175114, ""edge_cap"": 0.17287341786059493, ""edge_k"": 0.2946232253881029, ""ema1"": 18, ""ema2"": 48, ""p_adx"": 12, ""p_atr"": 22, ""p_sma"": 41, ""p_std"": 28, ""rsi_ob"": 94, ""rsi_os"": 30, ""rsi_period"": 58, ""rsi_required"": true, ""slip_atr_k"": 0.023439213967314493, ""slip_spread_k"": 0.7845218499756547, ""spread_hl_frac"": 0.034362101878834435, ""strategy"": ""mean_reversion"", ""time_stop"": 116, ""tp_mult"": 2.8089030013306977, ""tsl_mult"": 0.08010353867413278, ""use_adx"": true, ""use_atr"": false, ""use_ema"": true, ""use_sma"": false, ""use_spike"": false, ""vol_spike"": 0.06105828618045632}"
3,-0.41026610371335215,-0.41009331807002086,-1000000000.0,0.41009331807002086,-0.41026610371335215,-0.41009331807002086,2380.0,breakout,1,"{""adx_thresh"": 30.35926690896639, ""atr_max_pct"": 0.07117721666115319, ""atr_min_pct"": 0.011059396231903908, ""bb_std_mult"": 2.8579016800650456, ""edge_cap"": 0.8872630298703224, ""edge_k"": 1.4217055783072332, ""ema1"": 15, ""ema2"": 58, ""p_adx"": 28, ""p_atr"": 24, ""p_sma"": 57, ""p_std"": 24, ""rsi_ob"": 55, ""rsi_os"": 25, ""rsi_period"": 61, ""rsi_required"": true, ""slip_atr_k"": 0.18412283281696462, ""slip_spread_k"": 0.23846438799446357, ""spread_hl_frac"": 0.041188686413509645, ""strategy"": ""breakout"", ""time_stop"": 199, ""tp_mult"": 1.7196293518958998, ""tsl_mult"": 0.23973740683699096, ""use_adx"": false, ""use_atr"": false, ""use_ema"": true, ""use_sma"": true, ""use_spike"": false, ""vol_spike"": 0.2137789419788445}"
4,-0.5917450563258494,-0.5917039718768392,-1000000000.0,0.5917039718768392,-0.5917450563258494,-0.5917039718768392,7949.0,mean_reversion,1,"{""adx_thresh"": 6.866721189258174, ""atr_max_pct"": 0.08240248486869174, ""atr_min_pct"": 0.02785444312799175, ""bb_std_mult"": 1.356905784291802, ""edge_cap"": 0.7054144071694876, ""edge_k"": 1.7814151042813882, ""ema1"": 27, ""ema2"": 22, ""p_adx"": 20, ""p_atr"": 28, ""p_sma"": 43, ""p_std"": 19, ""rsi_ob"": 91, ""rsi_os"": 34, ""rsi_period"": 35, ""rsi_required"": false, ""slip_atr_k"": 0.19511102637269237, ""slip_spread_k"": 0.0455096611583109, ""spread_hl_frac"": 0.0442520594272805, ""strategy"": ""mean_reversion"", ""time_stop"": 142, ""tp_mult"": 2.891310350944651, ""tsl_mult"": 0.546931084314407, ""use_adx"": false, ""use_atr"": false, ""use_ema"": false, ""use_sma"": true, ""use_spike"": true, ""vol_spike"": 0.2977773139376785}"
5,0.0,,-1000000000.0,1000000000.0,0.0,,0.0,breakout,1,"{""adx_thresh"": 24.284360358292037, ""atr_max_pct"": 0.028273881627306173, ""atr_min_pct"": 0.024195975277186733, ""bb_std_mult"": 2.3708436793359415, ""edge_cap"": 0.6416977929284181, ""edge_k"": 0.1349134052324572, ""ema1"": 5, ""ema2"": 21, ""p_adx"": 11, ""p_atr"": 10, ""p_sma"": 56, ""p_std"": 27, ""rsi_ob"": 60, ""rsi_os"": 28, ""rsi_period"": 24, ""rsi_required"": true, ""slip_atr_k"": 0.23274485417847487, ""slip_spread_k"": 0.7385185527017973, ""spread_hl_frac"": 0.04587386004584992, ""strategy"": ""breakout"", ""time_stop"": 64, ""tp_mult"": 2.4638246024383936, ""tsl_mult"": 0.0054381151710469755, ""use_adx"": false, ""use_atr"": true, ""use_ema"": false, ""use_sma"": true, ""use_spike"": false, ""vol_spike"": 0.11429456029784868}"
6,0.0,,-1000000000.0,1000000000.0,0.0,,0.0,breakout,1,"{""adx_thresh"": 16.075161786975638, ""atr_max_pct"": 0.05319999023803249, ""atr_min_pct"": 0.011859785461143841, ""bb_std_mult"": 0.8260587189595278, ""edge_cap"": 0.6125135288566439, ""edge_k"": 0.06168733092502254, ""ema1"": 20, ""ema2"": 53, ""p_adx"": 24, ""p_atr"": 23, ""p_sma"": 45, ""p_std"": 30, ""rsi_ob"": 67, ""rsi_os"": 27, ""rsi_period"": 18, ""rsi_required"": true, ""slip_atr_k"": 0.0029051599415940432, ""slip_spread_k"": 0.7999146353906327, ""spread_hl_frac"": 0.047674517380310845, ""strategy"": ""breakout"", ""time_stop"": 40, ""tp_mult"": 2.188243673409287, ""tsl_mult"": 0.18479465998154498, ""use_adx"": true, ""use_atr"": true, ""use_ema"": true, ""use_sma"": false, ""use_spike"": true, ""vol_spike"": 0.18620879710448585}"
7,-0.026798100839184325,-0.0267235432788493,-0.026798100839184325,0.0267235432788493,-0.026798100839184325,-0.0267235432788493,181.0,mean_reversion,1,"{""adx_thresh"": 22.122263492430953, ""atr_max_pct"": 0.01175647243434583, ""atr_min_pct"": 0.007443909635700856, ""bb_std_mult"": 2.880871790235125, ""edge_cap"": 0.5978227980134022, ""edge_k"": 0.6828240616385233, ""ema1"": 15, ""ema2"": 39, ""p_adx"": 14, ""p_atr"": 7, ""p_sma"": 23, ""p_std"": 33, ""rsi_ob"": 60, ""rsi_os"": 19, ""rsi_period"": 73, ""rsi_required"": false, ""slip_atr_k"": 0.17278926551466087, ""slip_spread_k"": 0.8638507404389749, ""spread_hl_frac"": 0.041675672227595786, ""strategy"": ""mean_reversion"", ""time_stop"": 228, ""tp_mult"": 1.6724536069361289, ""tsl_mult"": 0.39288681741054066, ""use_adx"": false, ""use_atr"": false, ""use_ema"": true, ""use_sma"": false, ""use_spike"": false, ""vol_spike"": 0.2477711883517078}"
8,0.0,,-1000000000.0,1000000000.0,0.0,,0.0,mean_reversion,1,"{""adx_thresh"": 8.580540945578393, ""atr_max_pct"": 0.035580837450216174, ""atr_min_pct"": 0.017130815619208272, ""bb_std_mult"": 1.498910068920887, ""edge_cap"": 0.5459687711576637, ""edge_k"": 1.6433036718681313, ""ema1"": 30, ""ema2"": 50, ""p_adx"": 23, ""p_atr"": 13, ""p_sma"": 16, ""p_std"": 56, ""rsi_ob"": 80, ""rsi_os"": 24, ""rsi_period"": 66, ""rsi_required"": true, ""slip_atr_k"": 0.09049525268745587, ""slip_spread_k"": 0.3339477656305313, ""spread_hl_frac"": 0.037160953097312814, ""strategy"": ""mean_reversion"", ""time_stop"": 89, ""tp_mult"": 1.9426194354371946, ""tsl_mult"": 0.9381281487916697, ""use_adx"": false, ""use_atr"": true, ""use_ema"": false, ""use_sma"": false, ""use_spike"": true, ""vol_spike"": 0.11906353952391313}"
9,-0.015960542123259258,-0.01591025266180319,-0.015960542123259258,0.01591025266180319,-0.015960542123259258,-0.01591025266180319,111.0,mean_reversion,1,"{""adx_thresh"": 19.99632297911439, ""atr_max_pct"": 0.13412871577232846, ""atr_min_pct"": 0.003800759836353378, ""bb_std_mult"": 2.5546448924182568, ""edge_cap"": 0.43771745706038534, ""edge_k"": 1.3395538894796664, ""ema1"": 10, ""ema2"": 16, ""p_adx"": 28, ""p_atr"": 22, ""p_sma"": 46, ""p_std"": 40, ""rsi_ob"": 81, ""rsi_os"": 29, ""rsi_period"": 48, ""rsi_required"": false, ""slip_atr_k"": 0.24365657725689657, ""slip_spread_k"": 0.22987947405613463, ""spread_hl_frac"": 0.011318486097416841, ""strategy"": ""mean_reversion"", ""time_stop"": 176, ""tp_mult"": 1.4271997830467453, ""tsl_mult"": 0.4306103855908886, ""use_adx"": false, ""use_atr"": true, ""use_ema"": false, ""use_sma"": true, ""use_spike"": true, ""vol_spike"": 0.2122989824181951}"
