2025-08-30 14:20:31,981 WARNING: DATA SANITY: Extreme jumps >20*ATR200: 42
[I 2025-08-30 14:20:31,991] A new study created in memory with name: no-name-d89bf028-5e6e-442a-97f0-abb405753cbf
[I 2025-08-30 14:21:07,551] Trial 1 finished with values: [-1000000000.0, 1000000000.0] and parameters: {'p_sma': 32, 'p_std': 9, 'p_atr': 23, 'p_adx': 30, 'rsi_period': 83, 'ema1': 16, 'ema2': 58, 'slip_atr_k': 0.08831938238887593, 'slip_spread_k': 0.43963228624655726, 'spread_hl_frac': 0.02241138420795906, 'bb_std_mult': 2.5057183362908466, 'rsi_os': 29, 'rsi_ob': 62, 'vol_spike': 0.28071223731725514, 'adx_thresh': 34.5062301065139, 'atr_min_pct': 0.008859362599162562, 'atr_max_pct': 0.08496595758100042, 'tp_mult': 2.6467048069249324, 'tsl_mult': 0.8697278015257037, 'strategy': 'mean_reversion', 'time_stop': 91, 'use_sma': False, 'use_atr': True, 'use_adx': False, 'use_ema': True, 'use_spike': True, 'rsi_required': False, 'edge_k': 1.2548849639877897, 'edge_cap': 0.9101275951040798, 'bull_strategy': 'breakout', 'bull_bb_std_mult': 0.796667521341776, 'bull_rsi_os': 31, 'bull_rsi_ob': 56, 'bull_adx_thresh': 6.049610637763822, 'bull_atr_min_pct': 0.00512082918785107, 'bull_atr_max_pct': 0.05074449407762891, 'bull_tp_mult': 1.4764409143798365, 'bull_tsl_mult': 0.5140911544271936, 'bull_time_stop': 150, 'bull_use_sma': True, 'bull_use_ema': True, 'bull_use_atr': True, 'bull_use_adx': False, 'bull_use_spike': True, 'bull_rsi_required': False, 'bear_strategy': 'mean_reversion', 'bear_bb_std_mult': 2.7875443862278426, 'bear_rsi_os': 25, 'bear_rsi_ob': 68, 'bear_adx_thresh': 12.92844721790736, 'bear_atr_min_pct': 0.005555080087810804, 'bear_atr_max_pct': 0.08795765751513711, 'bear_tp_mult': 1.1064806088568597, 'bear_tsl_mult': 0.6455363237649048, 'bear_time_stop': 39, 'bear_use_sma': True, 'bear_use_ema': True, 'bear_use_atr': False, 'bear_use_adx': False, 'bear_use_spike': False, 'bear_rsi_required': True, 'sideways_strategy': 'mean_reversion', 'sideways_bb_std_mult': 1.4819917186620069, 'sideways_rsi_os': 47, 'sideways_rsi_ob': 72, 'sideways_adx_thresh': 30.373507197487445, 'sideways_atr_min_pct': 0.00270072187772293, 'sideways_atr_max_pct': 0.024872090427230216, 'sideways_tp_mult': 1.2576214852338985, 'sideways_tsl_mult': 0.6967244877811738, 'sideways_time_stop': 124, 'sideways_use_sma': False, 'sideways_use_ema': True, 'sideways_use_atr': False, 'sideways_use_adx': True, 'sideways_use_spike': False, 'sideways_rsi_required': True}.
[I 2025-08-30 14:21:07,564] Trial 3 finished with values: [-1000000000.0, 1000000000.0] and parameters: {'p_sma': 11, 'p_std': 9, 'p_atr': 21, 'p_adx': 11, 'rsi_period': 41, 'ema1': 29, 'ema2': 19, 'slip_atr_k': 0.24236405554209675, 'slip_spread_k': 0.2360850143413611, 'spread_hl_frac': 0.011993907172264695, 'bb_std_mult': 1.1661466109463157, 'rsi_os': 5, 'rsi_ob': 53, 'vol_spike': 0.10070063194988459, 'adx_thresh': 16.675801689296634, 'atr_min_pct': 0.023089616162900912, 'atr_max_pct': 0.10816256696632486, 'tp_mult': 1.3308417283661396, 'tsl_mult': 0.7949381973020816, 'strategy': 'breakout', 'time_stop': 14, 'use_sma': False, 'use_atr': False, 'use_adx': False, 'use_ema': False, 'use_spike': True, 'rsi_required': True, 'edge_k': 0.01739655447404531, 'edge_cap': 0.37811033984039305, 'bull_strategy': 'breakout', 'bull_bb_std_mult': 2.178711332592639, 'bull_rsi_os': 41, 'bull_rsi_ob': 46, 'bull_adx_thresh': 22.99361556319053, 'bull_atr_min_pct': 0.021301051125991587, 'bull_atr_max_pct': 0.06988706559590935, 'bull_tp_mult': 2.461477896570145, 'bull_tsl_mult': 0.23570639858469888, 'bull_time_stop': 200, 'bull_use_sma': True, 'bull_use_ema': False, 'bull_use_atr': True, 'bull_use_adx': False, 'bull_use_spike': False, 'bull_rsi_required': False, 'bear_strategy': 'mean_reversion', 'bear_bb_std_mult': 1.1134269808341573, 'bear_rsi_os': 36, 'bear_rsi_ob': 57, 'bear_adx_thresh': 28.938185921731105, 'bear_atr_min_pct': 0.017557964505388355, 'bear_atr_max_pct': 0.0524850524673087, 'bear_tp_mult': 2.4426292301258106, 'bear_tsl_mult': 0.5196346059232329, 'bear_time_stop': 267, 'bear_use_sma': False, 'bear_use_ema': False, 'bear_use_atr': True, 'bear_use_adx': False, 'bear_use_spike': True, 'bear_rsi_required': False, 'sideways_strategy': 'mean_reversion', 'sideways_bb_std_mult': 0.8519803797526656, 'sideways_rsi_os': 28, 'sideways_rsi_ob': 55, 'sideways_adx_thresh': 15.954112866995013, 'sideways_atr_min_pct': 0.02555435947622413, 'sideways_atr_max_pct': 0.046103317053309605, 'sideways_tp_mult': 1.1622544170572775, 'sideways_tsl_mult': 0.8287342510949535, 'sideways_time_stop': 91, 'sideways_use_sma': True, 'sideways_use_ema': False, 'sideways_use_atr': False, 'sideways_use_adx': False, 'sideways_use_spike': True, 'sideways_rsi_required': False}.
[I 2025-08-30 14:21:07,766] Trial 0 finished with values: [-0.02137082879881036, 0.02113775311065601] and parameters: {'p_sma': 53, 'p_std': 58, 'p_atr': 13, 'p_adx': 16, 'rsi_period': 20, 'ema1': 5, 'ema2': 59, 'slip_atr_k': 0.14903463192883387, 'slip_spread_k': 0.5972271464669442, 'spread_hl_frac': 0.010538042668099046, 'bb_std_mult': 0.7925678872278243, 'rsi_os': 18, 'rsi_ob': 80, 'vol_spike': 0.12786651214385983, 'adx_thresh': 10.6673996868612, 'atr_min_pct': 0.028725049228909748, 'atr_max_pct': 0.06153619160160783, 'tp_mult': 1.3722630512644465, 'tsl_mult': 0.7074487232205255, 'strategy': 'breakout', 'time_stop': 11, 'use_sma': True, 'use_atr': False, 'use_adx': True, 'use_ema': False, 'use_spike': True, 'rsi_required': True, 'edge_k': 1.7933260137531133, 'edge_cap': 0.11382524957629261, 'bull_strategy': 'breakout', 'bull_bb_std_mult': 3.017878817979219, 'bull_rsi_os': 51, 'bull_rsi_ob': 57, 'bull_adx_thresh': 23.127459335057566, 'bull_atr_min_pct': 0.0013598436491562514, 'bull_atr_max_pct': 0.09835072771189139, 'bull_tp_mult': 1.6058428402497271, 'bull_tsl_mult': 0.8688193913437904, 'bull_time_stop': 270, 'bull_use_sma': False, 'bull_use_ema': True, 'bull_use_atr': True, 'bull_use_adx': False, 'bull_use_spike': True, 'bull_rsi_required': False, 'bear_strategy': 'breakout', 'bear_bb_std_mult': 2.2698684449914777, 'bear_rsi_os': 19, 'bear_rsi_ob': 56, 'bear_adx_thresh': 24.122488448209257, 'bear_atr_min_pct': 0.023138191234425495, 'bear_atr_max_pct': 0.06777874559755884, 'bear_tp_mult': 2.3523177671523716, 'bear_tsl_mult': 0.33617362902970493, 'bear_time_stop': 234, 'bear_use_sma': True, 'bear_use_ema': False, 'bear_use_atr': True, 'bear_use_adx': False, 'bear_use_spike': True, 'bear_rsi_required': True, 'sideways_strategy': 'mean_reversion', 'sideways_bb_std_mult': 1.411853066993235, 'sideways_rsi_os': 26, 'sideways_rsi_ob': 69, 'sideways_adx_thresh': 29.07646854187149, 'sideways_atr_min_pct': 0.01439253230624306, 'sideways_atr_max_pct': 0.020430349926610088, 'sideways_tp_mult': 1.5843156222572383, 'sideways_tsl_mult': 0.12487447302798615, 'sideways_time_stop': 252, 'sideways_use_sma': True, 'sideways_use_ema': False, 'sideways_use_atr': False, 'sideways_use_adx': True, 'sideways_use_spike': True, 'sideways_rsi_required': True}.
[I 2025-08-30 14:21:07,844] Trial 6 finished with values: [-1000000000.0, 1000000000.0] and parameters: {'p_sma': 18, 'p_std': 58, 'p_atr': 10, 'p_adx': 18, 'rsi_period': 49, 'ema1': 16, 'ema2': 44, 'slip_atr_k': 0.1510214503425101, 'slip_spread_k': 0.6113235283255443, 'spread_hl_frac': 0.02179939613326573, 'bb_std_mult': 0.5861961916801571, 'rsi_os': 41, 'rsi_ob': 70, 'vol_spike': 0.03948777870102755, 'adx_thresh': 31.590856800033553, 'atr_min_pct': 0.029924986887774827, 'atr_max_pct': 0.023466526641115443, 'tp_mult': 2.005503710692581, 'tsl_mult': 0.12179448586333641, 'strategy': 'breakout', 'time_stop': 62, 'use_sma': True, 'use_atr': True, 'use_adx': False, 'use_ema': False, 'use_spike': False, 'rsi_required': False, 'edge_k': 0.14329076943226915, 'edge_cap': 0.8517138616574211, 'bull_strategy': 'mean_reversion', 'bull_bb_std_mult': 3.1076751938707767, 'bull_rsi_os': 24, 'bull_rsi_ob': 76, 'bull_adx_thresh': 16.90399914474157, 'bull_atr_min_pct': 0.011560718264176439, 'bull_atr_max_pct': 0.07025321203146398, 'bull_tp_mult': 2.9558890594336775, 'bull_tsl_mult': 0.6599499792506751, 'bull_time_stop': 189, 'bull_use_sma': False, 'bull_use_ema': False, 'bull_use_atr': True, 'bull_use_adx': True, 'bull_use_spike': False, 'bull_rsi_required': True, 'bear_strategy': 'mean_reversion', 'bear_bb_std_mult': 1.5030670871899654, 'bear_rsi_os': 21, 'bear_rsi_ob': 55, 'bear_adx_thresh': 17.145160735742856, 'bear_atr_min_pct': 0.01845618974782651, 'bear_atr_max_pct': 0.08341528210383312, 'bear_tp_mult': 2.4700582363491494, 'bear_tsl_mult': 0.6307834706594789, 'bear_time_stop': 65, 'bear_use_sma': True, 'bear_use_ema': True, 'bear_use_atr': False, 'bear_use_adx': False, 'bear_use_spike': False, 'bear_rsi_required': False, 'sideways_strategy': 'breakout', 'sideways_bb_std_mult': 2.563987880312973, 'sideways_rsi_os': 38, 'sideways_rsi_ob': 90, 'sideways_adx_thresh': 21.911051607133246, 'sideways_atr_min_pct': 0.000754281865864842, 'sideways_atr_max_pct': 0.03149378886235213, 'sideways_tp_mult': 1.9735042075691622, 'sideways_tsl_mult': 0.5810330367502552, 'sideways_time_stop': 105, 'sideways_use_sma': False, 'sideways_use_ema': False, 'sideways_use_atr': False, 'sideways_use_adx': False, 'sideways_use_spike': True, 'sideways_rsi_required': True}.
[I 2025-08-30 14:21:08,317] Trial 2 finished with values: [-1000000000.0, 1000000000.0] and parameters: {'p_sma': 45, 'p_std': 36, 'p_atr': 13, 'p_adx': 18, 'rsi_period': 18, 'ema1': 6, 'ema2': 50, 'slip_atr_k': 0.20500786924960124, 'slip_spread_k': 0.2041716966403787, 'spread_hl_frac': 0.009555972075732666, 'bb_std_mult': 2.8546406204444845, 'rsi_os': 46, 'rsi_ob': 77, 'vol_spike': 0.2738072744281238, 'adx_thresh': 34.902214021134114, 'atr_min_pct': 0.01529678652664064, 'atr_max_pct': 0.03523086370574137, 'tp_mult': 2.1045610386743547, 'tsl_mult': 0.42176949047501666, 'strategy': 'breakout', 'time_stop': 240, 'use_sma': True, 'use_atr': True, 'use_adx': True, 'use_ema': True, 'use_spike': True, 'rsi_required': True, 'edge_k': 0.044416633283739904, 'edge_cap': 0.9736564589641247, 'bull_strategy': 'breakout', 'bull_bb_std_mult': 1.3796535053089105, 'bull_rsi_os': 8, 'bull_rsi_ob': 79, 'bull_adx_thresh': 17.21969683533937, 'bull_atr_min_pct': 0.008277722035910162, 'bull_atr_max_pct': 0.07039118631452948, 'bull_tp_mult': 1.0430096479577529, 'bull_tsl_mult': 0.6394405186534458, 'bull_time_stop': 200, 'bull_use_sma': True, 'bull_use_ema': True, 'bull_use_atr': True, 'bull_use_adx': True, 'bull_use_spike': False, 'bull_rsi_required': True, 'bear_strategy': 'breakout', 'bear_bb_std_mult': 3.5670805780647767, 'bear_rsi_os': 10, 'bear_rsi_ob': 54, 'bear_adx_thresh': 6.004147669683241, 'bear_atr_min_pct': 0.024031742353917522, 'bear_atr_max_pct': 0.1167948944901598, 'bear_tp_mult': 2.5985014811751683, 'bear_tsl_mult': 0.23363072434115983, 'bear_time_stop': 265, 'bear_use_sma': False, 'bear_use_ema': True, 'bear_use_atr': False, 'bear_use_adx': False, 'bear_use_spike': False, 'bear_rsi_required': False, 'sideways_strategy': 'mean_reversion', 'sideways_bb_std_mult': 2.0056915548048413, 'sideways_rsi_os': 29, 'sideways_rsi_ob': 55, 'sideways_adx_thresh': 31.152614803863518, 'sideways_atr_min_pct': 0.01629783836320635, 'sideways_atr_max_pct': 0.03509767651944806, 'sideways_tp_mult': 1.1138768597144741, 'sideways_tsl_mult': 0.04401855039142111, 'sideways_time_stop': 146, 'sideways_use_sma': True, 'sideways_use_ema': True, 'sideways_use_atr': True, 'sideways_use_adx': True, 'sideways_use_spike': True, 'sideways_rsi_required': True}.
[I 2025-08-30 14:21:38,516] Trial 5 finished with values: [-1000000000.0, 1000000000.0] and parameters: {'p_sma': 9, 'p_std': 10, 'p_atr': 25, 'p_adx': 14, 'rsi_period': 81, 'ema1': 24, 'ema2': 27, 'slip_atr_k': 0.09847491714852402, 'slip_spread_k': 0.3573031034098413, 'spread_hl_frac': 0.03617552851963265, 'bb_std_mult': 2.280774836989868, 'rsi_os': 25, 'rsi_ob': 92, 'vol_spike': 0.09850432256637434, 'adx_thresh': 25.220395548861905, 'atr_min_pct': 0.020939779022784714, 'atr_max_pct': 0.12013054307050353, 'tp_mult': 2.9762784573283576, 'tsl_mult': 0.045805932184731724, 'strategy': 'mean_reversion', 'time_stop': 98, 'use_sma': False, 'use_atr': True, 'use_adx': False, 'use_ema': True, 'use_spike': False, 'rsi_required': False, 'edge_k': 1.243672542921465, 'edge_cap': 0.8870374663460835, 'bull_strategy': 'mean_reversion', 'bull_bb_std_mult': 0.7570967469511545, 'bull_rsi_os': 14, 'bull_rsi_ob': 64, 'bull_adx_thresh': 26.698308686087408, 'bull_atr_min_pct': 0.008890752057348825, 'bull_atr_max_pct': 0.10705167501532686, 'bull_tp_mult': 1.6795119018536135, 'bull_tsl_mult': 0.47039897579116263, 'bull_time_stop': 274, 'bull_use_sma': True, 'bull_use_ema': True, 'bull_use_atr': True, 'bull_use_adx': True, 'bull_use_spike': True, 'bull_rsi_required': False, 'bear_strategy': 'mean_reversion', 'bear_bb_std_mult': 2.0058416647952604, 'bear_rsi_os': 54, 'bear_rsi_ob': 50, 'bear_adx_thresh': 8.071090064053374, 'bear_atr_min_pct': 0.013140314148305786, 'bear_atr_max_pct': 0.13158451692237944, 'bear_tp_mult': 2.406552958927298, 'bear_tsl_mult': 0.42432889532631723, 'bear_time_stop': 172, 'bear_use_sma': False, 'bear_use_ema': False, 'bear_use_atr': True, 'bear_use_adx': False, 'bear_use_spike': True, 'bear_rsi_required': True, 'sideways_strategy': 'breakout', 'sideways_bb_std_mult': 1.8353799658068384, 'sideways_rsi_os': 37, 'sideways_rsi_ob': 45, 'sideways_adx_thresh': 8.422695705416572, 'sideways_atr_min_pct': 0.002805335023481881, 'sideways_atr_max_pct': 0.06092952684946522, 'sideways_tp_mult': 2.2562950811366176, 'sideways_tsl_mult': 0.5099853351145139, 'sideways_time_stop': 19, 'sideways_use_sma': True, 'sideways_use_ema': False, 'sideways_use_atr': True, 'sideways_use_adx': False, 'sideways_use_spike': True, 'sideways_rsi_required': True}.
[I 2025-08-30 14:21:38,554] Trial 9 finished with values: [-1000000000.0, 1000000000.0] and parameters: {'p_sma': 42, 'p_std': 49, 'p_atr': 12, 'p_adx': 25, 'rsi_period': 44, 'ema1': 19, 'ema2': 58, 'slip_atr_k': 0.22931193466157004, 'slip_spread_k': 0.2877565875333906, 'spread_hl_frac': 0.004973279711518808, 'bb_std_mult': 1.7728742865092713, 'rsi_os': 17, 'rsi_ob': 49, 'vol_spike': 0.2788862716701831, 'adx_thresh': 5.1947847510632075, 'atr_min_pct': 0.02574069190542846, 'atr_max_pct': 0.1143698525994891, 'tp_mult': 1.934819673130372, 'tsl_mult': 0.7415274354360215, 'strategy': 'mean_reversion', 'time_stop': 103, 'use_sma': False, 'use_atr': True, 'use_adx': True, 'use_ema': True, 'use_spike': False, 'rsi_required': True, 'edge_k': 0.023393288577246762, 'edge_cap': 0.8505137332271252, 'bull_strategy': 'breakout', 'bull_bb_std_mult': 2.72682345950666, 'bull_rsi_os': 52, 'bull_rsi_ob': 77, 'bull_adx_thresh': 13.572373883892718, 'bull_atr_min_pct': 0.011050790375672406, 'bull_atr_max_pct': 0.0701753106677324, 'bull_tp_mult': 2.933801531141063, 'bull_tsl_mult': 0.19824921975347531, 'bull_time_stop': 64, 'bull_use_sma': True, 'bull_use_ema': True, 'bull_use_atr': True, 'bull_use_adx': True, 'bull_use_spike': False, 'bull_rsi_required': True, 'bear_strategy': 'mean_reversion', 'bear_bb_std_mult': 1.894610816921786, 'bear_rsi_os': 53, 'bear_rsi_ob': 78, 'bear_adx_thresh': 8.883819890453395, 'bear_atr_min_pct': 0.028880729362019974, 'bear_atr_max_pct': 0.13404108992812472, 'bear_tp_mult': 2.913292677201149, 'bear_tsl_mult': 0.7974926760810316, 'bear_time_stop': 129, 'bear_use_sma': False, 'bear_use_ema': True, 'bear_use_atr': False, 'bear_use_adx': True, 'bear_use_spike': False, 'bear_rsi_required': True, 'sideways_strategy': 'mean_reversion', 'sideways_bb_std_mult': 0.8135389489324021, 'sideways_rsi_os': 21, 'sideways_rsi_ob': 80, 'sideways_adx_thresh': 33.776365936319806, 'sideways_atr_min_pct': 0.014933276779823194, 'sideways_atr_max_pct': 0.13791167514315059, 'sideways_tp_mult': 2.6167858257836425, 'sideways_tsl_mult': 0.8499526338928175, 'sideways_time_stop': 221, 'sideways_use_sma': True, 'sideways_use_ema': True, 'sideways_use_atr': True, 'sideways_use_adx': True, 'sideways_use_spike': True, 'sideways_rsi_required': False}.
[I 2025-08-30 14:21:38,961] Trial 7 finished with values: [-1000000000.0, 1000000000.0] and parameters: {'p_sma': 19, 'p_std': 11, 'p_atr': 27, 'p_adx': 30, 'rsi_period': 41, 'ema1': 28, 'ema2': 52, 'slip_atr_k': 0.10898753678838932, 'slip_spread_k': 0.10704081056478176, 'spread_hl_frac': 0.04547109956606003, 'bb_std_mult': 2.4684359166635303, 'rsi_os': 29, 'rsi_ob': 61, 'vol_spike': 0.21594427773579908, 'adx_thresh': 19.128579318654886, 'atr_min_pct': 0.015690150376043422, 'atr_max_pct': 0.0846641684008498, 'tp_mult': 1.7779020390475697, 'tsl_mult': 0.055468473969551124, 'strategy': 'mean_reversion', 'time_stop': 68, 'use_sma': False, 'use_atr': True, 'use_adx': True, 'use_ema': True, 'use_spike': True, 'rsi_required': True, 'edge_k': 1.594241520739617, 'edge_cap': 0.12146922962879327, 'bull_strategy': 'mean_reversion', 'bull_bb_std_mult': 1.2732759571824206, 'bull_rsi_os': 21, 'bull_rsi_ob': 45, 'bull_adx_thresh': 16.215884030328734, 'bull_atr_min_pct': 0.01186235382753091, 'bull_atr_max_pct': 0.04992289531860658, 'bull_tp_mult': 2.6934116841084945, 'bull_tsl_mult': 0.5335141250666007, 'bull_time_stop': 23, 'bull_use_sma': False, 'bull_use_ema': True, 'bull_use_atr': True, 'bull_use_adx': False, 'bull_use_spike': False, 'bull_rsi_required': False, 'bear_strategy': 'mean_reversion', 'bear_bb_std_mult': 2.334680237718072, 'bear_rsi_os': 46, 'bear_rsi_ob': 68, 'bear_adx_thresh': 13.283489708332791, 'bear_atr_min_pct': 0.020987236789464587, 'bear_atr_max_pct': 0.06634197244729322, 'bear_tp_mult': 2.168765715169452, 'bear_tsl_mult': 0.46109997168897743, 'bear_time_stop': 57, 'bear_use_sma': True, 'bear_use_ema': False, 'bear_use_atr': True, 'bear_use_adx': False, 'bear_use_spike': False, 'bear_rsi_required': False, 'sideways_strategy': 'mean_reversion', 'sideways_bb_std_mult': 1.3398180865129488, 'sideways_rsi_os': 17, 'sideways_rsi_ob': 75, 'sideways_adx_thresh': 30.06499526603728, 'sideways_atr_min_pct': 0.029910842829555383, 'sideways_atr_max_pct': 0.05686728032480179, 'sideways_tp_mult': 2.539407797867833, 'sideways_tsl_mult': 0.7237426821665354, 'sideways_time_stop': 242, 'sideways_use_sma': True, 'sideways_use_ema': False, 'sideways_use_atr': False, 'sideways_use_adx': False, 'sideways_use_spike': True, 'sideways_rsi_required': True}.
[I 2025-08-30 14:21:39,428] Trial 4 finished with values: [-1000000000.0, 1000000000.0] and parameters: {'p_sma': 14, 'p_std': 17, 'p_atr': 14, 'p_adx': 26, 'rsi_period': 27, 'ema1': 19, 'ema2': 36, 'slip_atr_k': 0.12593969488522835, 'slip_spread_k': 0.3283583931695213, 'spread_hl_frac': 0.012666396781558915, 'bb_std_mult': 2.0740644783409135, 'rsi_os': 45, 'rsi_ob': 70, 'vol_spike': 0.06363304456021365, 'adx_thresh': 21.913785686917876, 'atr_min_pct': 0.015534150664199671, 'atr_max_pct': 0.08304214056499969, 'tp_mult': 1.9124263866743705, 'tsl_mult': 0.6759214116855821, 'strategy': 'breakout', 'time_stop': 93, 'use_sma': True, 'use_atr': False, 'use_adx': True, 'use_ema': True, 'use_spike': False, 'rsi_required': False, 'edge_k': 0.11046004939706511, 'edge_cap': 0.32956350767663634, 'bull_strategy': 'mean_reversion', 'bull_bb_std_mult': 3.5721769910256183, 'bull_rsi_os': 25, 'bull_rsi_ob': 87, 'bull_adx_thresh': 28.680813533768085, 'bull_atr_min_pct': 0.021551525367701396, 'bull_atr_max_pct': 0.0642708262971197, 'bull_tp_mult': 2.5565049665352664, 'bull_tsl_mult': 0.6699607201795846, 'bull_time_stop': 16, 'bull_use_sma': True, 'bull_use_ema': True, 'bull_use_atr': True, 'bull_use_adx': True, 'bull_use_spike': False, 'bull_rsi_required': False, 'bear_strategy': 'breakout', 'bear_bb_std_mult': 0.5044584901063336, 'bear_rsi_os': 35, 'bear_rsi_ob': 90, 'bear_adx_thresh': 28.74595954584316, 'bear_atr_min_pct': 0.026071418309388895, 'bear_atr_max_pct': 0.10409594756178571, 'bear_tp_mult': 2.200837796004474, 'bear_tsl_mult': 0.36543112365562014, 'bear_time_stop': 193, 'bear_use_sma': True, 'bear_use_ema': False, 'bear_use_atr': False, 'bear_use_adx': False, 'bear_use_spike': True, 'bear_rsi_required': False, 'sideways_strategy': 'mean_reversion', 'sideways_bb_std_mult': 0.8462904778646522, 'sideways_rsi_os': 39, 'sideways_rsi_ob': 70, 'sideways_adx_thresh': 16.7063479204035, 'sideways_atr_min_pct': 0.021833251136019017, 'sideways_atr_max_pct': 0.08250259586510753, 'sideways_tp_mult': 1.3541587949508453, 'sideways_tsl_mult': 0.8772019498943591, 'sideways_time_stop': 12, 'sideways_use_sma': False, 'sideways_use_ema': True, 'sideways_use_atr': True, 'sideways_use_adx': True, 'sideways_use_spike': True, 'sideways_rsi_required': True}.
[I 2025-08-30 14:21:39,535] Trial 8 finished with values: [-1000000000.0, 1000000000.0] and parameters: {'p_sma': 31, 'p_std': 21, 'p_atr': 14, 'p_adx': 11, 'rsi_period': 52, 'ema1': 12, 'ema2': 14, 'slip_atr_k': 0.24693392156562843, 'slip_spread_k': 0.8414638790693938, 'spread_hl_frac': 0.021619784810818245, 'bb_std_mult': 1.1779233014518085, 'rsi_os': 10, 'rsi_ob': 91, 'vol_spike': 0.03494653462990547, 'adx_thresh': 17.58031923310973, 'atr_min_pct': 0.0038688136052720877, 'atr_max_pct': 0.08850431735708662, 'tp_mult': 2.59753741184527, 'tsl_mult': 0.5699534833387442, 'strategy': 'breakout', 'time_stop': 203, 'use_sma': True, 'use_atr': False, 'use_adx': False, 'use_ema': False, 'use_spike': False, 'rsi_required': False, 'edge_k': 1.3244520821953398, 'edge_cap': 0.31840240485381593, 'bull_strategy': 'breakout', 'bull_bb_std_mult': 0.8932877084895474, 'bull_rsi_os': 14, 'bull_rsi_ob': 91, 'bull_adx_thresh': 33.8447015155426, 'bull_atr_min_pct': 0.028845393867788168, 'bull_atr_max_pct': 0.07527280024505124, 'bull_tp_mult': 2.8154981169861193, 'bull_tsl_mult': 0.4152560049877473, 'bull_time_stop': 136, 'bull_use_sma': False, 'bull_use_ema': False, 'bull_use_atr': True, 'bull_use_adx': False, 'bull_use_spike': False, 'bull_rsi_required': True, 'bear_strategy': 'mean_reversion', 'bear_bb_std_mult': 2.994730065475049, 'bear_rsi_os': 18, 'bear_rsi_ob': 52, 'bear_adx_thresh': 27.9176636539423, 'bear_atr_min_pct': 0.022227892893825606, 'bear_atr_max_pct': 0.013248079479429098, 'bear_tp_mult': 2.2895504551043717, 'bear_tsl_mult': 0.40511250682639, 'bear_time_stop': 252, 'bear_use_sma': True, 'bear_use_ema': True, 'bear_use_atr': False, 'bear_use_adx': False, 'bear_use_spike': True, 'bear_rsi_required': False, 'sideways_strategy': 'breakout', 'sideways_bb_std_mult': 3.2214520507272035, 'sideways_rsi_os': 49, 'sideways_rsi_ob': 71, 'sideways_adx_thresh': 8.349088094381843, 'sideways_atr_min_pct': 0.017862485084989162, 'sideways_atr_max_pct': 0.12368064675078612, 'sideways_tp_mult': 2.346401992809364, 'sideways_tsl_mult': 0.6948925757630975, 'sideways_time_stop': 227, 'sideways_use_sma': True, 'sideways_use_ema': False, 'sideways_use_atr': False, 'sideways_use_adx': True, 'sideways_use_spike': False, 'sideways_rsi_required': False}.
[I 2025-08-30 14:22:09,810] Trial 11 finished with values: [-1000000000.0, 1000000000.0] and parameters: {'p_sma': 42, 'p_std': 55, 'p_atr': 20, 'p_adx': 12, 'rsi_period': 11, 'ema1': 9, 'ema2': 42, 'slip_atr_k': 0.11552349809157617, 'slip_spread_k': 0.025810437749929416, 'spread_hl_frac': 0.01983220221972843, 'bb_std_mult': 2.824410948791541, 'rsi_os': 12, 'rsi_ob': 84, 'vol_spike': 0.04006287040255869, 'adx_thresh': 10.771567772143847, 'atr_min_pct': 0.025055916600241087, 'atr_max_pct': 0.10183555508234361, 'tp_mult': 1.6831471532429847, 'tsl_mult': 0.6893372322959976, 'strategy': 'mean_reversion', 'time_stop': 89, 'use_sma': True, 'use_atr': False, 'use_adx': False, 'use_ema': False, 'use_spike': True, 'rsi_required': True, 'edge_k': 1.3904386533120592, 'edge_cap': 0.067211634216073, 'bull_strategy': 'breakout', 'bull_bb_std_mult': 1.0719810095181475, 'bull_rsi_os': 45, 'bull_rsi_ob': 52, 'bull_adx_thresh': 34.73301598796981, 'bull_atr_min_pct': 0.027367728588168713, 'bull_atr_max_pct': 0.07892260633752614, 'bull_tp_mult': 2.7053394592535756, 'bull_tsl_mult': 0.2732041322539742, 'bull_time_stop': 172, 'bull_use_sma': False, 'bull_use_ema': False, 'bull_use_atr': True, 'bull_use_adx': False, 'bull_use_spike': False, 'bull_rsi_required': False, 'bear_strategy': 'mean_reversion', 'bear_bb_std_mult': 3.1720533536634488, 'bear_rsi_os': 23, 'bear_rsi_ob': 67, 'bear_adx_thresh': 16.430515479816552, 'bear_atr_min_pct': 0.0200811427293015, 'bear_atr_max_pct': 0.0901000598744086, 'bear_tp_mult': 1.7903293057100154, 'bear_tsl_mult': 0.08641806738351931, 'bear_time_stop': 198, 'bear_use_sma': False, 'bear_use_ema': True, 'bear_use_atr': False, 'bear_use_adx': False, 'bear_use_spike': True, 'bear_rsi_required': False, 'sideways_strategy': 'mean_reversion', 'sideways_bb_std_mult': 1.3374643337626593, 'sideways_rsi_os': 27, 'sideways_rsi_ob': 46, 'sideways_adx_thresh': 10.853731700361674, 'sideways_atr_min_pct': 0.01630666702757576, 'sideways_atr_max_pct': 0.03435815402799027, 'sideways_tp_mult': 1.2598443059305644, 'sideways_tsl_mult': 0.26636156824419954, 'sideways_time_stop': 123, 'sideways_use_sma': False, 'sideways_use_ema': False, 'sideways_use_atr': True, 'sideways_use_adx': True, 'sideways_use_spike': True, 'sideways_rsi_required': True}.
