number,ret_pct,max_dd_pct,objective_value,objective_dd_abs,ret_pct_true,max_dd_pct_true,trades,strategy,state,params
0,-0.2969094363428294,-0.2968824824283633,-1000000000.0,0.2968824824283633,-0.2969094363428294,-0.2968824824283633,11819.0,breakout,1,"{""adx_thresh"": 28.686750260717094, ""atr_max_pct"": 0.0605766201384403, ""atr_min_pct"": 0.023823557273747596, ""bb_std_mult"": 2.448353656573106, ""edge_cap"": 0.745105565234243, ""edge_k"": 0.03158290442362888, ""ema1"": 18, ""ema2"": 23, ""p_adx"": 18, ""p_atr"": 13, ""p_sma"": 19, ""p_std"": 13, ""rsi_ob"": 95, ""rsi_os"": 11, ""rsi_period"": 32, ""rsi_required"": false, ""slip_atr_k"": 0.1832036381726206, ""slip_spread_k"": 0.11527422668314946, ""slippage"": 0.0004880426424387168, ""spread_hl_frac"": 0.019313753431717973, ""strategy"": ""breakout"", ""time_stop"": 90, ""tp_mult"": 1.8380468397462861, ""tsl_mult"": 0.5842581281103214, ""use_adx"": false, ""use_atr"": false, ""use_ema"": true, ""use_sma"": true, ""use_spike"": false, ""vol_spike"": 0.13296746059353842}"
1,,,-1000000000.0,1000000000.0,,,,mean_reversion,1,"{""adx_thresh"": 21.935569384236153, ""atr_max_pct"": 0.0456613791024233, ""atr_min_pct"": 0.029921674296626607, ""bb_std_mult"": 2.022810139524224, ""edge_cap"": 0.543010717866539, ""edge_k"": 0.5309006766403879, ""ema1"": 5, ""ema2"": 28, ""p_adx"": 15, ""p_atr"": 10, ""p_sma"": 60, ""p_std"": 14, ""rsi_ob"": 87, ""rsi_os"": 54, ""rsi_period"": 61, ""rsi_required"": false, ""slip_atr_k"": 0.197334021256028, ""slip_spread_k"": 0.34976921269998185, ""slippage"": 2.9339662790056286e-05, ""spread_hl_frac"": 0.03512618598568792, ""strategy"": ""mean_reversion"", ""time_stop"": 150, ""tp_mult"": 1.038611935484376, ""tsl_mult"": 0.08904506720249383, ""use_adx"": true, ""use_atr"": false, ""use_ema"": false, ""use_sma"": false, ""use_spike"": true, ""vol_spike"": 0.18307119965196042}"
2,-0.029600863393243748,-0.029609413751546312,-0.029600863393243748,0.029609413751546312,-0.029600863393243748,-0.029609413751546312,1807.0,breakout,1,"{""adx_thresh"": 24.0064581782519, ""atr_max_pct"": 0.0432515071114642, ""atr_min_pct"": 0.01598488390876416, ""bb_std_mult"": 3.2814676559662344, ""edge_cap"": 0.4206591346325211, ""edge_k"": 0.5907404078556431, ""ema1"": 17, ""ema2"": 46, ""p_adx"": 16, ""p_atr"": 17, ""p_sma"": 14, ""p_std"": 31, ""rsi_ob"": 68, ""rsi_os"": 26, ""rsi_period"": 68, ""rsi_required"": false, ""slip_atr_k"": 0.08788102494962544, ""slip_spread_k"": 0.9096535248282638, ""slippage"": 0.0003965115163145965, ""spread_hl_frac"": 0.035644375007897695, ""strategy"": ""breakout"", ""time_stop"": 132, ""tp_mult"": 2.893542798477308, ""tsl_mult"": 0.5594301234747533, ""use_adx"": false, ""use_atr"": false, ""use_ema"": false, ""use_sma"": false, ""use_spike"": false, ""vol_spike"": 0.2711781597991056}"
3,0.0,,-1000000000.0,1000000000.0,0.0,,0.0,mean_reversion,1,"{""adx_thresh"": 19.43655893153626, ""atr_max_pct"": 0.09139580824541636, ""atr_min_pct"": 0.02809525172141024, ""bb_std_mult"": 1.3054191388660497, ""edge_cap"": 0.7574072625304016, ""edge_k"": 0.5418060213341971, ""ema1"": 6, ""ema2"": 56, ""p_adx"": 15, ""p_atr"": 7, ""p_sma"": 44, ""p_std"": 24, ""rsi_ob"": 57, ""rsi_os"": 11, ""rsi_period"": 44, ""rsi_required"": false, ""slip_atr_k"": 0.1931153650265985, ""slip_spread_k"": 0.09644998572235297, ""slippage"": 0.0003627833108332157, ""spread_hl_frac"": 0.001861493559796773, ""strategy"": ""mean_reversion"", ""time_stop"": 27, ""tp_mult"": 1.380353806589591, ""tsl_mult"": 0.18692820493871765, ""use_adx"": false, ""use_atr"": true, ""use_ema"": false, ""use_sma"": true, ""use_spike"": true, ""vol_spike"": 0.20465210492807698}"
4,,,-1000000000.0,1000000000.0,,,,mean_reversion,1,"{""adx_thresh"": 19.554394722360048, ""atr_max_pct"": 0.018159118887497577, ""atr_min_pct"": 0.008426545115792529, ""bb_std_mult"": 3.3078261208796755, ""edge_cap"": 0.6477302050470463, ""edge_k"": 1.4036581195044446, ""ema1"": 29, ""ema2"": 33, ""p_adx"": 7, ""p_atr"": 20, ""p_sma"": 36, ""p_std"": 55, ""rsi_ob"": 58, ""rsi_os"": 50, ""rsi_period"": 13, ""rsi_required"": false, ""slip_atr_k"": 0.16874025146822888, ""slip_spread_k"": 0.6236666694816397, ""slippage"": 7.367360626727881e-05, ""spread_hl_frac"": 0.027510310672085092, ""strategy"": ""mean_reversion"", ""time_stop"": 107, ""tp_mult"": 1.418066393421241, ""tsl_mult"": 0.6400390792018065, ""use_adx"": false, ""use_atr"": true, ""use_ema"": false, ""use_sma"": false, ""use_spike"": true, ""vol_spike"": 0.21574703776868318}"
5,0.006767059700347522,-0.0011697885940472601,-1000000000.0,1000000000.0,0.006767059700347522,-0.0011697885940472601,6.0,breakout,1,"{""adx_thresh"": 26.723429603957637, ""atr_max_pct"": 0.12487471762972932, ""atr_min_pct"": 0.012995032855432855, ""bb_std_mult"": 1.369378327397443, ""edge_cap"": 0.19922845944787312, ""edge_k"": 1.416740328598533, ""ema1"": 10, ""ema2"": 23, ""p_adx"": 25, ""p_atr"": 19, ""p_sma"": 7, ""p_std"": 7, ""rsi_ob"": 88, ""rsi_os"": 44, ""rsi_period"": 61, ""rsi_required"": true, ""slip_atr_k"": 0.10208673408834895, ""slip_spread_k"": 0.6552760423503994, ""slippage"": 0.0001076252074012638, ""spread_hl_frac"": 0.013515993474090266, ""strategy"": ""breakout"", ""time_stop"": 217, ""tp_mult"": 2.6504157827605703, ""tsl_mult"": 0.01654146258848732, ""use_adx"": false, ""use_atr"": true, ""use_ema"": true, ""use_sma"": false, ""use_spike"": false, ""vol_spike"": 0.16423085913350124}"
6,-0.12311571252048381,-0.12312412135334051,-1000000000.0,0.12312412135334051,-0.12311571252048381,-0.12312412135334051,10005.0,mean_reversion,1,"{""adx_thresh"": 7.6366598091793225, ""atr_max_pct"": 0.053916851690779845, ""atr_min_pct"": 0.015028079235762798, ""bb_std_mult"": 2.2787887637202178, ""edge_cap"": 0.7622711160480817, ""edge_k"": 1.6870798713407706, ""ema1"": 21, ""ema2"": 11, ""p_adx"": 16, ""p_atr"": 26, ""p_sma"": 11, ""p_std"": 13, ""rsi_ob"": 82, ""rsi_os"": 47, ""rsi_period"": 20, ""rsi_required"": false, ""slip_atr_k"": 0.02792197388407197, ""slip_spread_k"": 0.689452829190147, ""slippage"": 4.705157532030113e-05, ""spread_hl_frac"": 0.030863295623142398, ""strategy"": ""mean_reversion"", ""time_stop"": 139, ""tp_mult"": 1.5432671612530002, ""tsl_mult"": 0.5094419215359797, ""use_adx"": true, ""use_atr"": false, ""use_ema"": false, ""use_sma"": false, ""use_spike"": true, ""vol_spike"": 0.06799536125479395}"
7,-0.00029769443512328575,0.0,-1000000000.0,1000000000.0,-0.00029769443512328575,0.0,1.0,breakout,1,"{""adx_thresh"": 5.793278829735656, ""atr_max_pct"": 0.1148174614342969, ""atr_min_pct"": 0.022430464992662554, ""bb_std_mult"": 0.560232009709737, ""edge_cap"": 0.6627721958181584, ""edge_k"": 0.6029973858127922, ""ema1"": 10, ""ema2"": 43, ""p_adx"": 26, ""p_atr"": 22, ""p_sma"": 46, ""p_std"": 40, ""rsi_ob"": 72, ""rsi_os"": 37, ""rsi_period"": 72, ""rsi_required"": false, ""slip_atr_k"": 0.20538673718734912, ""slip_spread_k"": 0.031830351465695905, ""slippage"": 8.960996439372792e-05, ""spread_hl_frac"": 0.0017123174847413825, ""strategy"": ""breakout"", ""time_stop"": 169, ""tp_mult"": 1.4705282270505353, ""tsl_mult"": 0.7845280323432903, ""use_adx"": false, ""use_atr"": true, ""use_ema"": true, ""use_sma"": false, ""use_spike"": false, ""vol_spike"": 0.008268366498174784}"
8,-0.002724696788194314,-0.0027957060545875908,-1000000000.0,1000000000.0,-0.002724696788194314,-0.0027957060545875908,51.0,breakout,1,"{""adx_thresh"": 22.44686088772023, ""atr_max_pct"": 0.12050644109860292, ""atr_min_pct"": 0.005629461512098454, ""bb_std_mult"": 1.6140092449335048, ""edge_cap"": 0.44360783823087696, ""edge_k"": 1.122886829211405, ""ema1"": 8, ""ema2"": 28, ""p_adx"": 17, ""p_atr"": 25, ""p_sma"": 7, ""p_std"": 11, ""rsi_ob"": 59, ""rsi_os"": 37, ""rsi_period"": 82, ""rsi_required"": true, ""slip_atr_k"": 0.20896874114208625, ""slip_spread_k"": 0.9781643985103268, ""slippage"": 0.0004617478595877976, ""spread_hl_frac"": 0.009777031593474162, ""strategy"": ""breakout"", ""time_stop"": 97, ""tp_mult"": 1.7668958500425667, ""tsl_mult"": 0.32646239738693617, ""use_adx"": true, ""use_atr"": true, ""use_ema"": true, ""use_sma"": true, ""use_spike"": true, ""vol_spike"": 0.014065018303631226}"
9,-0.18435021438119803,-0.18432879373663041,-1000000000.0,0.18432879373663041,-0.18435021438119803,-0.18432879373663041,13974.0,breakout,1,"{""adx_thresh"": 11.458420787429311, ""atr_max_pct"": 0.10245218378344666, ""atr_min_pct"": 0.026807158070000243, ""bb_std_mult"": 2.2228592490463024, ""edge_cap"": 0.30693151202319896, ""edge_k"": 0.758872895369332, ""ema1"": 30, ""ema2"": 11, ""p_adx"": 12, ""p_atr"": 24, ""p_sma"": 51, ""p_std"": 37, ""rsi_ob"": 75, ""rsi_os"": 36, ""rsi_period"": 15, ""rsi_required"": false, ""slip_atr_k"": 0.10382065579971869, ""slip_spread_k"": 0.23926907465067127, ""slippage"": 0.00011074151200148703, ""spread_hl_frac"": 0.013274303095611879, ""strategy"": ""breakout"", ""time_stop"": 63, ""tp_mult"": 1.1000295574202847, ""tsl_mult"": 0.5968838444906166, ""use_adx"": true, ""use_atr"": false, ""use_ema"": false, ""use_sma"": false, ""use_spike"": false, ""vol_spike"": 0.22843715524145772}"
